TICKER,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,CUR_MKT_CAP,PX_LAST,NAME_OF_CEO,CEO_START_DATE,TOT_CEO_COMP,COMPANY_TEL_NUMBER,COMPANY_WEB_ADDRESS
A UN  EQUITY,AGILENT TECHNOLOGIES INC,Industrial,Electronics,22437920366.82,69.6,"Michael R Mcmullen ""Mike""",3/18/2015,10090661,1-408-345-8886,www.agilent.com
AAL UW  EQUITY,AMERICAN AIRLINES GROUP INC,"Consumer, Cyclical",Airlines,26192957490.88,55.37,"William Douglas Parker ""Doug""",01-01-2014,11140763,1-817-963-1234,www.aa.com
AAP UN  EQUITY,ADVANCE AUTO PARTS INC,"Consumer, Cyclical",Retail,8462357146.80,114.39,"Thomas R Greco ""Tom""",4/11/2016,24479941,1-540-362-4911,www.advanceautoparts.com
AAPL UW  EQUITY,APPLE INC,Technology,Computers,892569626830.00,175.88,"Timothy Donald Cook ""Tim""",1/1/2011,12825066,1-408-996-1010,www.apple.com
ABBV UN  EQUITY,ABBVIE INC,"Consumer, Non-cyclical",Pharmaceuticals,179470193263.96,113.12,Richard Gonzalez,1/1/2013,22625243,1-847-932-7900,www.abbvie.com.co
ABC UN  EQUITY,AMERISOURCEBERGEN CORP,"Consumer, Non-cyclical",Pharmaceuticals,19517598735.35,88.75,"Steven H Collis ""Steve""",7/1/2011,9907274,1-610-727-7000,www.amerisourcebergen.com
ABT UN  EQUITY,ABBOTT LABORATORIES,"Consumer, Non-cyclical",Healthcare-Products,108971234860.80,62.4,Miles D White,1/1/1999,18971019,1-847-937-6100,www.abbott.com
ACN UN  EQUITY,ACCENTURE PLC-CL A,Technology,Computers,104284043882.37,162,Pierre Nanterme,1/1/2011,19804109,353-1-646-2000,www.accenture.com
ADBE UW  EQUITY,ADOBE SYSTEMS INC,Technology,Software,113619635390.97,230.48,Shantanu Narayen,12/1/2007,21934033,1-408-536-6000,www.adobe.com
ADI UW  EQUITY,ANALOG DEVICES INC,Technology,Semiconductors,34362149489.88,92.88,Vincent T Roche,3/28/2013,10511761,1-781-329-4700,www.analog.com
ADM UN  EQUITY,ARCHER-DANIELS-MIDLAND CO,"Consumer, Non-cyclical",Agriculture,23851260342.36,42.67,Juan Ricardo Luciano,1/1/2015,14012616,1-312-634-8100,www.adm.com
ADP UW  EQUITY,AUTOMATIC DATA PROCESSING,"Consumer, Non-cyclical",Commercial Services,51197645383.50,115.54,Carlos A Rodriguez,11/9/2011,9764300,1-973-974-5000,www.adp.com
ADS UN  EQUITY,ALLIANCE DATA SYSTEMS CORP,Financial,Diversified Finan Serv,12631316313.25,227.86,"Edward J Heffernan ""Ed""",3/1/2009,7840417,1-214-494-3000,www.alliancedata.com
ADSK UW  EQUITY,AUTODESK INC,Technology,Software,29852762385.66,135.53,Andrew Anagnost,2/8/2017,10723779,1-415-507-5000,www.autodesk.com
AEE UN  EQUITY,AMEREN CORPORATION,Utilities,Electric,13388588153.64,55.21,Warner L Baxter,7/1/2014,10636730,1-314-621-3222,www.ameren.com
AEP UN  EQUITY,AMERICAN ELECTRIC POWER,Utilities,Electric,33180617419.80,67.4,"Nicholas K Akins ""Nick""",11/12/2011,11530461,1-614-716-1000,www.aep.com
